title,location,summary,salary
newApplication Architect: SAP NextGen Technical Innovation,"Temporarily Remote in Gurgaon, Haryana+2 locations","You will define the scope and vision for projects that deliver customized solutions using your knowledge of IBM platforms.
Your day in the role will include...",NA
newEngineer Access Tech Group,"Gurgaon, Haryana","We are now looking for a Service Architect responsible for providing engineering service functions to support the Service to the customer by analyzing, crafting…",NA
Artificial Intelligence Specialist,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Ability to develop innovative approaches and technical analysis…",NA
newQlik Developer,+1 locationRemote,"We provide artificial intelligence-based products/platforms capable of automated cognitive decision making to improve productivity, quality, and economics of…",NA
"newSenior Consultant, Development","Gurgaon, Haryana+3 locations","We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG…",NA
Application Developers for Advanced Analytics,"New Delhi, Delhi",Strong statistical and data science knowledge: Position requires knowledge of traditional and contemporary statistical models including but not limited to…,NA
System & Virtualization Management Development for power sys...,"Bengaluru, Karnataka","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
Sr. Manager,"Noida, Uttar Pradesh","We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG…",NA
"Artificial Intelligence, Virtual Reality Developer - L1","Mumbai, Maharashtra","Follow adopted design/development methodologies, patterns, and toolsets.
Programming and implementing immersive AR/VR applications using Unity, OpenCV, ARCore,…",NA
ASIC/Layout Design Engineer,"Noida, Uttar Pradesh","You will develop layouts designs for Analog Full Custom IPs such as.
GPIOs , I2C, I3C , SMBUS , eMMC , SVID , Quad SPI , JTAG.",NA
newApplication Architect: Microsoft Business Applications,"Bengaluru, Karnataka","You will define the scope and vision for projects that deliver customized solutions using your knowledge of IBM platforms.
Willing to work in any shifts.",NA
newSupport Engineer Pro,"Bengaluru, Karnataka","Reports To (title): Shift Lead.
Working on case management and form an active interface between clients and resolver groups.",NA
ML lead,"Delhi, Delhi","Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
Total work: 4 years (Required).","₹30,00,000 - ₹35,00,000 a year"
Frontend Engineer,"Gurgaon, Haryana",KlearNow has the flexibility of a small start up with the security of a well-funded organization with strong investors and advisors.,NA
Systems Engineer,"Bengaluru, Karnataka","Our focus in on the insights, creativity and technology that improve the interaction with clients and motivates meaningful action.",NA
R&D Member of Technical Staff II,India,"Vacancy Name R&D Member of Technical Staff II, Product Development.
AVEVA Employment Type Full Time Permanent.
CI/CD Tools and Processes in Azure DevOps.",NA
QA Automation Engineer,"Bengaluru, Karnataka","Artificial intelligence: 4 years (Preferred).
Designing and developing test automation scripts.
Researching issues in software through testing.","₹6,00,000 - ₹15,00,000 a year"
Software Developer,"New Delhi, Delhi","Founded in 2007 Consilium Software is incorporated in Singapore, with software development and engineering labs in India, and subsidiaries and branch offices in…",NA
"Chatbot, Machine Learning and Artificial Intelligence","Mumbai, Maharashtra","In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance…",NA
Trainer/Faculty – Artificial intelligence | Machine Learning...,"Hyderabad, Telangana","Identify demanding courses, plan, design and create courses.
Build the content for courses in both pdf, video format.
Plan and Design hackathons, webinars.",NA
newData Scientist,"Tirupati, Andhra Pradesh",The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the latest developments in the field.,NA
newHardware Developer,"Bengaluru, Karnataka","We are seeking highly motivated engineers with a BS,MS degree in ECE/CS to be part of Standard Cell Library Characterization team.",NA
Change and Configuration Manager,"New Delhi, Delhi","At IBM, our Project Managers excel by leading and coordinating a project team’s overall performance, scope, cost, and deliverables.",NA
newVisualization Developer,"Bengaluru, Karnataka","As a savvy liaison for our teams, you will create solutions and provide actionable insights that shape the future of our business.",NA
Software Developer - Scala developer role,"Bengaluru, Karnataka","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
"Architect,Sr","Noida, Uttar Pradesh","Provides technical support across the organization, from strategic design to implementation and implementing backup solutions that support core organizational…",NA
Machine Learning hiring for Bengaluru,India,Must have Skills : Machine Learning Good to Have Skills : Industry Strategy Job Requirements : 1: Responsibilities aDesign and implement Artificial Intelligence…,"₹10,00,000 - ₹25,00,000 a year"
Data Consultant: Data Strategy,"Bengaluru, Karnataka","To think along with clients and sell.
Support Account Teams in sales pursuits around Data and AI opportunities or become embedded on a specific delivery project…",NA
newRPA Developer - Hyderabad,"Hyderabad, Telangana","Minimum of 5+ years of software development experience including, but not limited to mature design, coding, testing, and debugging skills.",NA
newHR Delivery Manager,"Hyderabad, Telangana","Work with a team using the most innovative approaches to attraction, sourcing, selection, interviewing, offering, and closing.",NA
newData Scientist,"New Delhi, Delhi","As a data scientist, you will develop deep learning models using libraries such as PyTorch or Tensorflow and create APIs and tools for training and deploying…",NA
Analyst,"New Delhi, Delhi","Understanding and ready to adapt new technologies including Digital, Additive Manufacturing, Artificial intelligence, Cloud etc.",NA
Data Analyst - Python/Artificial Intelligence,"Noida, Uttar Pradesh","Masters- degree in operations research, applied statistics, data mining, machine learning & related quantitative discipline (Preferably MSc M Tech in Statistics…","₹10,000 - ₹15,000 a month"
newQA Engineer(Manual),"Delhi, Delhi+1 location","Identify and document test cases for multi-component systems from requirements.
Coordinate and communicate with developers on bug fixes and required…","₹7,00,000 - ₹12,00,000 a year"
newArtificial Intelligence & Machine Learning,"Gurgaon, Haryana","Job Purpose– As an Associate Data Scientist, Working on artificial intelligence(AI) projects, you’ll be responsible for creating programs and algorithms that…",NA
Data Analyst,"New Delhi, Delhi",_ _Our smart applications and systems are designed for real-time data monitoring recording analysis and decision-making aided by artificial intelligence to…,"₹25,000 a month"
Artificial Intelligence Specialist Internship,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Ability to develop innovative approaches and technical analysis…",NA
Artificial Intelligence Researcher Internship,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Artificial Intelligence Researcher internship in Delhi at CryptoMize -…",NA
Business Analyst,"Gurgaon, Haryana",Gigmo Solutions Pvt. Ltd is a young early-stage startup started by co-founders with combined global experience of 60+ years with a mission to fundamentally…,"₹17,00,000 a year"
newFull Stack Developer,"Delhi, Delhi","Our developers share a passion for rapid prototyping, making things work in challenging environments, and seeing the impact of our work first-hand.","₹29,76,273 a year"
Artificial Intelligence Analyst Internship,"Delhi, Delhi","We bring efficiency to governance operations through intelligence and strategic thinking.
Artificial Intelligence Analyst Internships in Delhi at CryptoMize -…",NA
AI/ML Engineer,"Gurgaon, Haryana","If you also have knowledge of data science and software engineering, we’d like to meet you.
Study and transform data science prototypes.","₹10,00,000 - ₹20,00,000 a year"
