title,location,summary,salary
Data Analyst/Associate Analyst,"New Delhi, Delhi","The candidate should have a background in data sciences, and should be well-versed with at least one programming language among Python, Java, C++ and Javascript…",NA
Data Scientist,"Mumbai, Maharashtra","Basic SQL with ability to fetch, transform data tables.
Design and run data backed experiments to improve process efficiency and create systems to capture them.",NA
SQL Data/ETL Analyst,"Chennai, Tamil Nadu","Skilled in data management, data integration, application integration or data quality.
Good knowledge in data extraction through Microsoft Azure cloud (or…","₹6,00,000 - ₹8,00,000 a year"
Data Engineer,"Noida, Uttar Pradesh","Working with client and/or offshore teams to create algorithms for (1) data collection, (2) data storage, (3) data quality checks, (4) data accessibility, and …",NA
newData Analyst - Tableau,"Bengaluru, Karnataka","Analyze and develop data structures appropriately support business requirements.
Advanced experience in reporting systems, data warehouse systems, and…",NA
Data Researcher I,"Gurgaon, Haryana+1 location","We can consider a science graduate candidate who is pursuing Post Graduation in Finance Stream.
Collection, Standardization and validation of corporate annual,…",NA
newAssistant Project Manager,"Bengaluru, Karnataka","This involves collecting the data from Maintenance team, consolidating the same and presenting it as required.
Taking care of quality of construction.","₹6,00,000 - ₹10,00,000 a year"
Data Scientist,"Bengaluru, Karnataka","The automation and data sciences team within SMDD is a cross-functional group of chemists, engineers, and computational chemists with a broad range of…",NA
Data Scientist,"Bengaluru, Karnataka",Provide inputs in designing the architecture and data engineering pipeline to suit the development and deployment of data science models.,NA
newSoftware Engineer I - Backend,"Jasola, Delhi, Delhi","Implement security and data protection.
Tech, master's degree in computer science or a related technical field.
1-3 years hands on experience.",NA
Technical Architect | Data Science,"Gurgaon, Haryana","Design and develop large scale data science architectures, reusable frameworks and components picking best in class technologies.",NA
Cyber Forensics Expert,"Delhi, Delhi","Conduct data breach and security incident investigations.
Computer forensics (also known as computer forensic science) is a branch of digital forensic science…",NA
newSenior Data Engineer,"Gurgaon, Haryana","Experience in building scalable data pipelines for highly unstructured data.
He or she develops data models, processing pipelines, back-end services supporting…","₹10,00,000 - ₹45,00,000 a year"
Data Engineer-CAI,"Mumbai, Maharashtra","Analyze results, identify patterns and trends in data sets Defining new data collection and analysis processes Ability to define, review reports and analysis…",NA
Data Science Mentor,"Pune, Maharashtra","Full time: * Work from the Office - 6 days per week.
Educational Qualification: * Graduate of Computer Science or related fields.","₹2,00,000 - ₹3,00,000 a year"
Manager - Data Science,"Delhi, Delhi","Leading data science and artificial intelligence efforts.
Experience with common data science toolkits such as Jupyter, Spyder, PySpark etc.",NA
Principal - Data Science,"Gurgaon, Haryana","Graduate/post-graduate degree in data science, data analytics, statistics, computer science or Graduate + MBA (Analytics) from leading A or B-schools.",NA
Data Scientist,"Pune, Maharashtra","Work with a team of high-performing data science professionals, product managers, engineers & designers to identify analytics opportunities to solve business…",NA
Data Entry Analyst,"Kondapur, Hyderabad, Telangana","Required deep data management knowledge.
Vamstar makes it easy for life science industry professionals to identify more market opportunities, analyze real-time…","₹4,05,996 a year"
"newData analyst / Data scientist, Associate","Bengaluru, Karnataka","Working knowledge in data science, big data tools and infrastructural components such as PySpark / Jupyter.
Some domain experience of data interfaces to Client…",NA
Associate Consultant / Consultant – Data Science,"Pune, Maharashtra","Analyze different pharmaceutical / life sciences data sets like claims data, electronic medical records, anonymous patient level data, prescription data & sales…",NA
Data Scientist Role,India,"Should have Experience in data mining, data wrangling, machine learning.
Data scientist would be responsible for Experience in data mining, data wrangling,…",NA
Business Analyst,Remote,"Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",NA
Data Scientist,"Bengaluru, Karnataka","B.Tech/M.Tech/PhD in computer science, AI/ML or related fields.
Should have a proven track record of co-ordinating with product managers, data engineers and…","₹20,00,000 a year"
Data Privacy Officer (Senior),"New Delhi, Delhi","Experience with privacy laws and regulations (including data protection, cross-border data transfers, data retention, data sharing, and incident response);",NA
Data Engineer,"Bengaluru, Karnataka","Troubleshoot data load or data integrity violations.
Familiar with data warehousing concepts.
Monitor and automate daily data load processes.","₹5,00,000 - ₹12,00,000 a year"
Cyber Security - SOC Engineering - Manager - Hyderabad,"Hyderabad, Telangana","The Cyber Security team vigilantly protects Deloitte and client data.
USI Cyber Engineer – Team Manager.
Are you passionate about technology and interested in…",NA
newFacilitator Computer Science Engineering,"Remote in Bhubaneshwar, Orissa",The prospective and eligible candidates with keen interest in teaching and research for the position of Facilitator in the Computer Science and Engineering…,"₹12,000 - ₹18,001 a month"
Junior Python Developer,"Bengaluru, Karnataka","Ability to integrate multiple data sources into a single system; and to.
Bachelor's degree in computer science, computer engineering, or related field.","₹15,000 - ₹32,956 a month"
newReporting Analyst,"Gurgaon, Haryana"," Maintain a record of original data and corrected data.
O Ensure adherence to data quality standards.
 Develop and execute data clean-up measures.",NA
Data Scientist (Python) - Bangalore,"Bengaluru, Karnataka","(Computer science or related field).
Strong hands-on experience with SQL, data warehousing, dashboarding, and reporting, involving large datasets and multiple…",NA
"Python Data Science (Pyspark,ELT,SQL )",Remote,"ELT working experience at least 3-6 month required.
SQL concepts and exp required.",NA
newGraduate Data Analyst,"Bengaluru, Karnataka","Acquire data from primary or secondary data sources and maintain data systems and pipelines.
Proficient in using Python for data analysis.",NA
newReporting Analyst,India,"Support the data strategy in area of responsibility, which encompasses data collection architecture, data governance, and data reporting infrastructure.",NA
Director of Data Science,"Noida, Uttar Pradesh","Good with numbers: digest numbers/data, analyze it, use this data to make.
Defines the data requirements of the analytic solution.",NA
Data Scientist,"Pune, Maharashtra","Background of science and engineering preferred.
Technical writing skills with interest for creating data oriented narratives.",NA
newData Scientist - Software Engineer - Advanced,"Pune, Maharashtra","Good knowledge of big data, business analytics, data analytics, and data science.
Net and have strong database design and data manipulation coding skills.",NA
NLP Engineer/Scientist,"Remote in Chennai, Tamil Nadu","2.Proven track record of delivering quality NLP data analysis, NLP model building and NLP pipelines.
We are looking for multiple NLP engineers/researchers,…","₹50,000 - ₹1,00,000 a month"
newImpact Associate (Data Analyst),"Robertsganj, Uttar Pradesh","Monitor the data entry done by data entry operator on online/offline MIS.
Approval of data submitted by Block Officer on MIS system through trace verification…","₹12,000 - ₹15,000 a month"
Full Stack Developer,"Remote in Bengaluru, Karnataka","We focus on empowering clients to make better marketing decisions by leveraging data and technology.
We achieve this goal by building a best-in-class team of…","₹10,00,000 a year"
newData Scientist - Software Engineer - Advanced,"Pune, Maharashtra","Good knowledge of big data, business analytics, data analytics, and data science.
Net and have strong database design and data manipulation coding skills.",NA
NLP Engineer/Scientist,"Remote in Chennai, Tamil Nadu","2.Proven track record of delivering quality NLP data analysis, NLP model building and NLP pipelines.
Masters or PhD, in Computer Science/Data Science or a…","₹50,000 - ₹1,00,000 a month"
newImpact Associate (Data Analyst),"Robertsganj, Uttar Pradesh","Monitor the data entry done by data entry operator on online/offline MIS.
Approval of data submitted by Block Officer on MIS system through trace verification…","₹12,000 - ₹15,000 a month"
Full Stack Developer,"Remote in Bengaluru, Karnataka","We achieve this goal by building a best-in-class team of certified and experienced analysts, data scientists and engineers.","₹10,00,000 a year"
Incident Manager - DATA_VP,"Hyderabad, Telangana","Support service quality deep dives for technology incidents, service disruptions caused by data transmissions failures, batch processing delays, erroneous code…",NA
newScientific Promotion Executive,"Mumbai, Maharashtra","Collect complete data on territory doctors, maintain and submit call records in the prescribed format and update doctor data base.","₹4,50,000 - ₹6,50,000 a year"
Data Analyst-GTO-Hyderabad,"Hyderabad, Telangana","Excellent skills in performing large & complex data analysis, data mining, and generating data reports based on requirements.",NA
newStatistical Programmer,India,"Masters in Sciences, with a minimum of 5 years of SAS programming experience with clinical trial data.
Ability to work on data migration from legacy datasets to…",NA
Junior Project Fellow Ornithology,"Mumbai, Maharashtra","Candidate should have ability to execute the scientific projects, writing reports, data analysis and.
Coordinating field research work for conservation of…","₹22,000 a month"
Trainee Software DevelopeR,"Indore, Madhya Pradesh","Bachelor’s degree in computer science.
Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.","₹8,000 - ₹20,000 a month"
newBusiness Data Analyst,"Bengaluru, Karnataka",Instilling a company wide-culture of data-first decision making and driving continuous data quality best practices.,NA
newCross-Border E-Commerce Product Research and Data Analytics...,Remote,4\. Participate in the formulation of Product Sales Plans on various platforms and regularly track and maintain the related data for further analysis.,NA
Data Science,"Pune, Maharashtra",Ability to understand and work with large disparate data sets and transform the information into clear insights for the business.,NA
newData Scientist,"Pune, Maharashtra","3+ years experience in data science.
Analyse data for trends and interpret data/patterns with a clear objective in mind.",NA
Junior Software Developer,"New Delhi, Delhi","BS in computer science or a related field.
Integrating data from various back-end services and databases.
Writing well designed, testable, efficient code by…",NA
Research Manager,"New Delhi, Delhi",Research Support: The position will work closely with Principal Investigators and local research teams to drive project planning and support (including but not…,NA
Python Developer,Remote,"Ability to integrate multiple data sources into a single system.
Bachelor's degree in computer science, computer engineering, or related field.",NA
Data Scientist - Associate Vice President,"Noida, Uttar Pradesh","Expectations/ Requirements - 10 + years of experience into data science field.
Share reports and dashboards with business stakeholders to empower them to make…",NA
Analyst,"Hyderabad, Telangana","Principal Responsibilities - Analyze, and understandclient priorities through requirements gathering & elicitationdocuments - Support data collection and…",NA
newIT Admin,"Jaipur, Rajasthan","Developing data retrieval and recovery procedures.
Documenting processes, as well as backing up and archiving data.",NA
Data Science & Analytic,"Delhi, Delhi",1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.,NA
Segment Leader- Data & AI- AI,"New Delhi, Delhi","Help Client drive Business Outcomes using Data, AI and Automation.
Solution Specialist for IBM’s Data & AI portfolio (AI) - is responsible for working with…",NA
newWeb Designer & Developer,"New Delhi, Delhi","BS in computer science or a related field.
Integrate data from various back-end services and databases.
Write well designed, testable, efficient code by using…","₹25,000 - ₹30,000 a month"
Software Tester,"Mumbai, Maharashtra+1 location","*Prepare test cases, test scripts and test data.*.
*Design, execute and report software tests.*.
*Review business/software requirements and provide inputs.*.","₹20,000 - ₹30,000 a month"
Business Data Analyst - Python + SQL / Machine Learning / Da...,"Mumbai, Maharashtra","Understand data structures; Understand data structures; fundamentals of golden source, data interdependencies and data tables.",NA
System Administrator,"Raipur, Chhattisgarh","Developing data retrieval and recovery procedures.
Documenting processes, as well as backing up and archiving data.
Job Types: Full-time, Regular / Permanent.","₹25,000 - ₹50,000 a month"
Data Scientist,"Bengaluru, Karnataka","Ability to effectively communicate data science results and analytics value to business stakeholders.
Willingness to build on and experiment with cloud data…",NA
Research Scientist in Bioproduct Analytical Development,"Bengaluru, Karnataka","Chemistry experience with knowledge of one or more of the following, as appropriate: separation sciences, biophysical/ biochemical characterization, and…",NA
Data Scientist/ Data Analyst,"Pune, Maharashtra","Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",NA
Analyst- Data Science,"Pune, Maharashtra","1+ years core data science/analytics experience.
Use statistical methods to analyze data and generate useful business reports.",NA
newAnalyst- CAT Modelling,"Mumbai, Maharashtra","Understand the exposure data, assess data quality, make necessary improvements (incl. geocoding) and assumptions for modeling in RMS/AIR/RQE and maintain…",NA
Business Analyst,"Delhi, Delhi","Experience: 10-12 Years ideal.
Location: Multiple locations – Metros (onsite).
Domain Knowledge of credit risk.
Job Types: Full-time, Regular / Permanent.","₹6,84,484 - ₹15,22,309 a year"
Data Science,"Mumbai, Maharashtra","Experience with preprocessing of data for machine learning.
The primary aim of the Senior ML Engineer – R & D is to ensure that all tasks are completed on time,…",NA
Data Entry Analyst,"Kondapur, Hyderabad, Telangana","Required deep data management knowledge.
Vamstar makes it easy for life science industry professionals to identify more market opportunities, analyze real-time…","₹4,05,996 a year"
newApplication Developer: Java & Web Technologies,"Coimbatore, Tamil Nadu+7 locations",Perform application unit testing activities such as Translate business and IT (Information Technology) requirements and also Interpret data models.,NA
newData Analyst (CSD),"Bengaluru, Karnataka","Acquire data from primary or secondary data sources and maintain databases/data systems.
Data analytics, data preprocessing, modeling, data visualization, data…",NA
"Manager, Insights Data Science","Gurgaon, Haryana+2 locations","The Advanced Analytics Group is a team of experts in primary market research, marketing science, data science, engineering and operations research.",NA
Data Science,"Bengaluru, Karnataka","Experience in implementation of data science projects.
Transform data science prototypes into machine learning systems.
Come to HP and thrive!",NA
newMANAGER ( ANALYTICS AND DATA SCIENCE ) - Data Analysis,"Bengaluru, Karnataka","Developing and maintaining databases, data systems – reorganizing data in a readable format.
Proven working experience in data analysis.",NA
Software Tester,"Andheri, Mumbai, Maharashtra+1 location","Prepare test cases, test scripts and test data.
Design, execute and report software tests.
Review business/software requirements and provide inputs.","₹3,60,000 - ₹4,80,000 a year"
newData Scientist,"Bengaluru, Karnataka",Identification and development through statistical and data modeling techniques different generic data products.,NA
Manager- Data Science,"Pune, Maharashtra","3+ years core data science/analytics experience.
Lead a team of data scientists.
Use statistical methods to analyze data and generate useful business reports.",NA
Associate Machine Learning Scientist,"Delhi, Delhi","In order to apply machine learning for social good, you will need to understand user challenges and their context, curate and transform data, train and validate…",NA
Python (Data Scientist),"Kolkata, West Bengal","Bachelor’s or Master’s degree in computer science, computer engineering, or.
Developing Docker-based Python applications (using PySpark, Pandas, Numpy, and.",NA
newML Data Associate I,"Chennai, Tamil Nadu","Quantitative fields such as science and engineering preferred but not mandatory.
Work on defined set of instructions to collect ground truth data for the…",NA
newData Engineer,"Chennai, Tamil Nadu+1 location",Engage with Product Management and Business to support and build data solutions and develop expertise w.r.t data thereby being known as the true data analyst.,NA
Junior Software Developer,"New Delhi, Delhi","BS in computer science or a related field.
Integrating data from various back-end services and databases.
Writing well designed, testable, efficient code by…",NA
newData Engineer II,"Bengaluru, Karnataka","Experience with dimensional modeling, data warehousing and data mining.
You will work on a team including scrum masters, product owners, data architects, data…",NA
Data Scientist,"Temporarily Remote in Mumbai, Maharashtra","Collaborate with the global data science community within Spotify on various initiatives.
You have 5+ years experience with mixed data science skills and…",NA
Data Analyst,"Bengaluru, Karnataka","We are seeking Data Analyst, or Data Junky as we like to call it, who have a passion for understanding business using data science and analytics and create…",NA
Data Science – Sr. Associate,"Remote in Bengaluru, Karnataka","Job Title: Data Science* - *Sr.
Location: Bangalore (Work From Home)*.
Experience: * 18 months to 4 years of experience in a computer vision role.","₹9,00,000 - ₹15,00,000 a year"
Data Scientist,"Pune, Maharashtra","Degree in data science, computer science, information services or engineering from a reputed institute.
You will also need to explore data lakes and processes…",NA
Data Analyst,"Bengaluru, Karnataka","Contribute to ongoing data science efforts, utilize available data sets and data science best practices to identify business risks and opportunities.",NA
Data Scientist,"Mumbai, Maharashtra","Basic SQL with ability to fetch, transform data tables.
Design and run data backed experiments to improve process efficiency and create systems to capture them.",NA
DATA SCIENCE TRAINER,"Ernakulam, Kerala","Data analytics tools like Tableau, Power bi knowledge.
Flexible to learn new technologies.
Online and offline batches handling.
Demo sessions need to give.","₹13,000 - ₹20,000 a month"
newData Scientist,"Pune, Maharashtra","Experience with common data science toolkits, such as R, Weka, NumPy, MatLab.
Summary: We are looking for a data scientist that will help us discover the…",NA
Data Analyst,"Gurgaon, Haryana","Acquire data from primary or secondary data sources and maintain databases/data systems.
He will study existing customer data.
Accuracy and attention to detail.",NA
newAVP - Data Science and Analytics (Insights),"Mumbai, Maharashtra","TransUnion's Job Applicant Privacy Notice.
Lead client meetings to understand their requirements and ensure delivery of the right analytics solution in a timely…",NA
newIT Admin,"Jaipur, Rajasthan","Developing data retrieval and recovery procedures.
Documenting processes, as well as backing up and archiving data.
Minimum Skills and Qualification Required:",NA
DATA Engineer trainer for students,"Hyderabad, Telangana","We are looking for subject knowledge trainers in Data Engineer/Data Scientist.
Anyone with the passion of education and excellent command on the above mentioned…","₹2,01,977 - ₹6,00,000 a year"
"newAnalyst, Data Engineering (I5)","Bengaluru, Karnataka","Supervise trends and elevate issues accruing due to data variance.
Build multi source data base layer management, which lays foundation for good visualization…",NA
"Data Analyst, Regulatory Risk and Compliance","Hyderabad, Telangana","4 years of experience in data and analytics.
Bachelor's degree in Computer Science, Mathematics, Statistics, Quantitative Social Sciences, or equivalent…",NA
MSSQL Data Science & R Analytics Programmer,"Bengaluru, Karnataka",The role is targeted at candidates with 2 to 6years of experience in Database Programming / Data Science role with hands-on experience in MS SQL Server.,NA
Data Annotation Intern,"Bengaluru, Karnataka","Help to define data labelling quality metrics, reports & analysis of the same.
Good in GUI programming, data structures, design patterns, OOPs concepts, memory…",NA
Data Quality Analyst with Lead Generation,"Noida, Uttar Pradesh","Running data queries to identify coding issues and data exceptions, as well as cleaning data.
Gathering data from primary or secondary data sources to identify…",NA
newData Operations Engineer,"Gurgaon, Haryana","Strong knowledge of data architectures and data modelling and data infrastructure ecosystem.
Develop a detailed understanding of our data platform and partner…",NA
Data Engineer / Sr. Data Engineer,"Gurgaon, Haryana",Bachelor's / Master’s Degree or Equivalent with 1-3 years of experience in Advanced Analytics roles or data science roles with background in Computer science or…,NA
Data Analyst,"Gurgaon, Haryana","Present the analysis in crisp and clear manner for solving location data anomalies/issues.
This will be an exciting and challenging role that will enable you to…",NA
newDevelopment Engineer (Junior),"New Delhi, Delhi","Good technical aptitude, good problem-solving skills and a strong foundation in computer science.
Strong foundation in computer science, with strong…",NA
"newBusiness Intelligence Engineer, Amazon Business","Hyderabad, Telangana","Experience in modern data warehousing techniques (dimensional data modelling, experience with ETL, etc.);
Data science expert with Machine Learning experience;",NA
Business Analyst,"Gurgaon, Haryana+1 location","PayU Payments data has emerged as a powerful source of information.
Opportunity to work on exceptional projects using cutting edge technology in a big data…",NA
newProduct Manager (Apps),"Gurgaon, Haryana",Document all the business and product requirements based on inputs from all key stakeholders; define the product acceptance testing criteria; work closely with…,"₹15,00,000 - ₹25,00,000 a year"
36 WEEKS INTERNSHIP - Business Intelligence & Analytics,"Remote in Delhi, Delhi","A) Bachelor's Degree in computer science, Business Information Systems, data science, or related field.
Reviewing and validating data.",NA
Data Science Trainer,"Noida, Uttar Pradesh","Should have exposure to Python, data analytics, data science, Machine.
Training students and help them to gain knowledge on the topics given by.","₹25,000 - ₹35,000 a month"
Data Researcher I,"Gurgaon, Haryana+1 location","We can consider a science graduate candidate who is pursuing Post Graduation in Finance Stream.
Collection, Standardization and validation of corporate annual,…",NA
newProduct Manager (Apps),"Gurgaon, Haryana",Document all the business and product requirements based on inputs from all key stakeholders; define the product acceptance testing criteria; work closely with…,"₹15,00,000 - ₹25,00,000 a year"
36 WEEKS INTERNSHIP - Business Intelligence & Analytics,"Remote in Delhi, Delhi","A) Bachelor's Degree in computer science, Business Information Systems, data science, or related field.
Reviewing and validating data.",NA
Data Science Trainer,"Noida, Uttar Pradesh","Should have exposure to Python, data analytics, data science, Machine.
Training students and help them to gain knowledge on the topics given by.","₹25,000 - ₹35,000 a month"
Data Researcher I,"Gurgaon, Haryana+1 location","We can consider a science graduate candidate who is pursuing Post Graduation in Finance Stream.
Collection, Standardization and validation of corporate annual,…",NA
Product Manager,"Gurgaon, Haryana+5 locations","Well-versed with data warehouse modernization to Big Data and Cloud environments.
Bachelor or Masters degree in Computer Science or equivalent experience.",NA
Data Analyst: Full Time,"Remote in Bengaluru, Karnataka","Should be comfortable with data viz tools like tableau , data studio etc.
Developing software and data models.
Manages and improves existing reporting systems.",NA
Consultant,"Gurgaon, Haryana+1 location","Our uniqueness lies in bringing together strong engineering, data science, and design capabilities coupled with deep domain understanding.",NA
Applied Data Scientist,"Remote in Bengaluru, Karnataka","Experience with building machine learning pipelines on large data sets.
Build data processing and machine learning pipelines and systematically test the…",NA
Data Scientist,"Bengaluru, Karnataka","Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data.
Experience with data visualization and storytelling.",NA
Sr. Associate DATA SCIENCE,"Remote in Bengaluru, Karnataka","Substantial hands-on experience with data handling.
Able to analyze data independently and draw out salient insights.
SQL, MSFT PowerPoint and Excel.","₹13,00,000 - ₹24,00,000 a year"
Data Analyst,"Ahmedabad, Gujarat","Advanced programming skills, proficiency with R or Python, experience using other programming and data manipulation languages like SQL, experience in SAS.",NA
newCloud Engineer,"Mohali, Punjab",Building Enterprise Data and AI Platform and Cloud-Native Applications and Intelligent Distributed Systems for Decision intelligence.,"₹4,50,000 - ₹6,50,000 a year"
"Associate, QA","Gurgaon, Haryana","Analyze data to identify areas for improvement in the quality system.
PURPOSE To be the gatepost for quality in the customer deployment function; owning…",NA
Software Engineer,"Noida, Uttar Pradesh",Looking for a passionate QA Engineer who enjoys developing best-in-class automation test suites and driving testability into the product.,NA
newData Engineer: Data Warehouse,"Bengaluru, Karnataka+2 locations","Design, build and maintain the physical Teradata data structures to support business requirements.
To think along with clients and sell.",NA
newFullstack Developer,"Remote in Gurgaon, Haryana","Design the data and presentation layer of the web application's front-end.
Use additional JavaScript libraries such as Redux to manage the web application's…",NA
Data Science Specialist,"Hybrid remote in Mumbai, Maharashtra","Experience with API or services integrations and a firm understanding of implementing solutions with multiple data sources.
MSCI and Climate Action Group.",NA
Urgent Hiring for Python Developer,"Sahibzada Ajit Singh Nagar, Punjab","Ability to integrate multiple data sources into a single system.
Bachelor's degree in computer science, computer engineering, or related field.","₹15,000 - ₹30,000 a month"
PLC & SCADA Programmer (An Opportunity for a Fresher),"Wayanad, Kerala+13 locations","The ideal candidate must be B. Tech or Diploma in Electrical, Electronics and Instrumentation (Males & Females) and Computer Science (Only for females) and…","₹25,000 a month"
"Scientist, Data Science","Mumbai, Maharashtra","At GXO Logistics, selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis …",NA
Senior QA Engineer,"Anand Vihar, Delhi, Delhi","Prepare test cases, API test scripts and test data.
Must have knowledge of at least one programming/scripting language/data exchange language.","₹15,000 - ₹45,000 a month"
Data Analyst,"Bandra, Mumbai, Maharashtra",Job Description : Job Responsibilities include: • Creating excel templates for data collection and reporting • Collating and consolidating raw data from various…,NA
newC# Developer,"Bengaluru, Karnataka","Experience working with databases handling a large amount of data.
Professional experience in data, backup, and recovery domainExperience working on Windows…","₹15,00,000 - ₹25,00,000 a year"
Data Scientist,"New Delhi, Delhi","You developing quantitative models, leveraging machine learning and advanced data analysis techniques to.
You have strong experience in data analysis, writing…",NA
ASSOCIATE DATA SCIENTIST,"Bengaluru, Karnataka","Experience with industry scale data mining and/or text mining.
Experience with capturing, managing, and processing Big Data (terabytes of data present in web…",NA
newData Scientist (Pune),"Pune, Maharashtra","On an ongoing basis enrich the Toll data pool with new and emerging data sets.
Identify structured and unstructured data sets both internally and externally for…",NA
newLead Data Scientist,"Hyderabad, Telangana","Develop high-quality code for analytics software solutions, primarily with the Python data-science stack.
BE/MTech/MSc (Computer science/Mathematics/ Physics…",NA
Project Manager,"Temporarily Remote in New Delhi, Delhi","You will be working with a team of creative, supportive, data-driven engineers and practitioners.
At Allendevaux & Company, we are building customer-focused…","₹16,00,000 a year"
newFront End Developer,"Remote in Pune, Maharashtra","Create security and data protection settings.
Knowledge of \*\*Algorithms\*\* and data structures is also an essential need for professional software developers…","₹10,000 - ₹50,000 a month"
newQuantitative Research - EDG Strats and Infra - Associate,"Mumbai, Maharashtra","Morgan, as well as a leader in financial engineering, data analytics, statistical modeling and portfolio management.",NA
Data Analysts,India,Strong business analytical skills a must; ability to apply business logic to design and implement data mining techniques on large data sets.,NA
SDE I (Frontend),"Gurgaon, Haryana","Netomi's Relationship Operating System automatically resolves up to 80% of routine customer service inquiries, decreasing resolution time, and increasing…",NA
newDATA SCIENTIST,"Thiruvananthapuram, Kerala","Execute exploratory data analysis, pre processing, cleansing and validating the integrity of data.
Fetching information from various data sources, pre process…",NA
Data Analyst,"Chandigarh, Chandigarh","Developing and maintaining databases, data systems – reorganizing data in a readable format.
Performing analysis to assess quality and meaning of data.","₹40,246 - ₹60,000 a month"
newData Analytics Manager II - Tableau,"Remote in Noida, Uttar Pradesh","Degree in Computer science, analytics, etc.
Crafting intuitive and interactive reports and dashboards using Tableau for data-driven decisions.",NA
Data Analyst,"Pune, Maharashtra","Technical or data-driven educational background (computer science, engineering, statistics, data science).
Data Engineering skills(ability to extract data from…",NA
newSenior Data Scientist,"Bengaluru, Karnataka","Experience with big data technologies, full data lifecycle.
Degree or experience in STEM (Science, Technology, Engineering and Math) fields such as computer…",NA
Professional 2 Data Analyst (51005671),"Noida, Uttar Pradesh","Bachelor’s degree in Computer Science or similar field or equivalent work experience.
5-8 years of development experience with Informatica Power Center on Data…",NA
newSecurity Analyst,"Alwal, Hyderabad, Telangana","Experience writing queries to analyze data.
Querying and correlating security scanning tool data with technical inventory.
Researching new tools and processes.",NA
Software Engineer,"Remote in Mumbai, Maharashtra","Candidates should have strong interest in computer science and software engineering.
On the Basis of performance during the Internship and the training we will…",NA
Associate Product Manager-web development,"Gurgaon, Haryana","Analyzing consumer research data and recording product defects.
Gathering product data, including web analytics, statistics, and consumer trends.","₹15,00,000 a year"
newData Engineer,"Gurgaon, Haryana","Excellent understanding of data warehouses / data-marts and dimensional data models.
Store, retrieve, and manipulate data and perform data analysis required to…",NA
newData Engineer 1,"Bengaluru, Karnataka","Design & develop data management and data persistence solutions for application use cases leveraging relational, non-relational databases and enhancing our data…",NA
Data Scientist,"Chandigarh, Chandigarh","Knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc.
Enhancing data collection procedures to include information that is relevant for…",NA
Data & Analytics Developers,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…",NA
Risk Analyst,"Delhi, Delhi","Passionate about data analysis and how this contributes to the business.
Ability to generate insights from data, assess the commercial / financial impact and…",NA
newData Analyst,"Chennai, Tamil Nadu","§ Candidate should have good conceptual knowledge about which statistical tests are applicable based on the type of data.
Total work: 2 years (Preferred).","₹10,000 - ₹20,000 a month"
newSr. Business Analyst - Data Analytics- Remote,"Remote in Bengaluru, Karnataka","Identify data quality important issues in our data and work with engineering and product teams to improve data quality.
3+ years of analysis experience.",NA
Product Manager- Android App,"New Delhi, Delhi","Ability to track metrics, and make data-driven decisions.
You will use user data and associate qualitative feedback, customer usage, and.","₹20,00,000 - ₹30,00,000 a year"
newSoftware QA Engineer 2 - Automation Tester,Remote,"Under broad guidance, executes and verifies software application tests.
Analyzes business and functional requirements for completeness; derives valid test cases…",NA
newProduct Manager 2,"Noida, Uttar Pradesh","Use data to monitor, measure and ensure we are doing the right things for our partners and sellers.
From websites, apps and games you use to buy and manage your…",NA
newPython Developer,"Remote in Pune, Maharashtra","Ability to integrate multiple data sources into a single system.
Bachelor's degree in computer science, computer engineering, or related field.","₹10,00,000 - ₹15,00,000 a year"
Head of Data Analytics,"Mumbai, Maharashtra","Conceptualise and drive the data analytics strategy of the Company • Implement and maintain capabilities, technical architecture and processes to solve critical…",NA
newCorporate FPandA Data Analyst,"Chennai, Tamil Nadu","3+ years of data science/analysis experience in FP&A, Finance or similar role in the past organization.
Bachelor degree in Computer science, Engineering or…",NA
newData management engineer,"Gurgaon, Haryana","Candidate will also help to establish and improve the data stewardship and data governance processes for power plant fleet data.
Familiarity with SAP is a plus.",NA
newFull Stack Developer,"Remote in Noida, Uttar Pradesh","Conducts data investigations and assists the business partners with data analysis and ad-hoc queries.
ISHIR has extensive experience in providing outsourcing…",NA
newJunior Software Engineer (Remote),"Remote in Bengaluru, Karnataka","Utilize technologies from Firebase/GCP and help build data pipelines to aid our data engineering.
Experience in designing NoSQL databases (e.g. MongoDB, Cloud…","₹2,50,000 - ₹5,00,000 a year"
Software Developers,Remote,"BCA, MCA, BSc or MSc computer science.
This ERP system covers the following modules and business functions.
Front-end: VB 6.0 using Visual Studio.",NA
Junior Data Scientist,Remote,"Very fluent in SQL data bases for complex queries.
Able to carry on with data conversion from different sources.
2-4 years of Experience in Data scientist.",NA
Manager - Data Science,"Delhi, Delhi","Leading data science and artificial intelligence efforts.
Experience with common data science toolkits such as Jupyter, Spyder, PySpark etc.",NA
